title,url,team,topics,score,source,tags,published_at,fetched_at,score_source_w,score_decay,score_sentiment_kicker
Bucs' McMillan out with 'severely strained neck',https://www.espn.com/nfl/story/_/id/46016094/bucs-wr-jalen-mcmillan-neck-miss-awkward-fall,Buccaneers,['Injury'],3.031159152063355,https://www.espn.com,"ESPN,NFL",,2025-08-19 17:15:55.732153+00:00,1.15,0.4159998156659468,1.1175599999999999
Bucs Sign Veteran QB Teddy Bridgewater,https://www.buccaneers.com/news/bucs-sign-qb-teddy-bridgewater-2025,Buccaneers,"['Transaction', 'DepthChart']",2.3296238970004124,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.41600426732150225,0.0
How to Watch: Titans at Buccaneers | Preseason Week One,https://www.buccaneers.com/news/how-to-watch-preseason-livestream-titans-at-buccaneers,Buccaneers,['Injury'],2.3296238970004124,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.41600426732150225,0.0
Bucs Release First Depth Chart of 2025,https://www.buccaneers.com/news/bucs-release-first-depth-chart-2025,Buccaneers,"['Transaction', 'DepthChart']",2.3296238970004124,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.41600426732150225,0.0
How to Watch: Tampa Bay Buccaneers at Pittsburgh Steelers | Preseason Week Two 2025,https://www.buccaneers.com/news/how-to-watch-buccaneers-at-steelers-preseason-week-2-2025,Buccaneers,['Injury'],2.3296238970004124,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.41600426732150225,0.0
"Bucs Add Michael Jordan, Tyler McLellan to O-Line Corps",https://www.buccaneers.com/news/bucs-add-michael-jordan-tyler-mclellan-o-line-corps,Buccaneers,['Transaction'],2.00657505730944,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.4160043020884115,0.5505599999999999
Banged-Up Bucs add Jacob Harris to Receiving Corps,https://www.buccaneers.com/news/banged-up-bucs-add-jacob-harris-receiving-corps-2025,Buccaneers,['Transaction'],1.93829505730944,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.4160043020884115,0.48227999999999993
"Bucs Sign CB Benjamin Morrison, Wrap Up Rookie Deals",https://www.buccaneers.com/news/bucs-sign-cb-benjamin-morrison-wrap-2025-rookie-deals,Buccaneers,['Transaction'],1.4560150573094401,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.4160043020884115,0.0
"Bucs Add WR Jaden Smith, RB Owen Wright",https://www.buccaneers.com/news/bucs-add-wr-jaden-smith-rb-owen-wright,Buccaneers,['Transaction'],1.4560150573094401,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.4160043020884115,0.0
"Bucs Sign CB JayVian Farr, RB Jase McClellan",https://www.buccaneers.com/news/bucs-sign-cb-jayvian-farr-rb-jase-mcclellan,Buccaneers,['Transaction'],1.4560149356252579,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 17:15:57.656809+00:00,1.4,0.41600426732150225,0.0
