title,url,team,topics,score,source,tags,published_at,fetched_at,score_source_w,score_decay,score_sentiment_kicker
Falcons Mailbag: What we learned during team scrimmage,https://www.atlantafalcons.com/news/falcons-mailbag-what-we-learned-during-team-scrimmage,Falcons,['Injury'],2.8714179665077313,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196456+00:00,1.4,0.4160032083049521,0.5418
Vikings WR Jordan Addison suspended for Week 2 game vs Falcons,https://www.atlantafalcons.com/news/vikings-wr-jordan-addison-suspended-vs-falcons,Falcons,['Injury'],2.8132738188444844,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:00:54.178198+00:00,1.4,0.41399889622222935,0.49488
Movers and shakers of Falcons first preseason game vs. Detroit Lions,https://www.atlantafalcons.com/news/movers-shakers-falcons-first-preseason-game-vs-detroit-lions,Falcons,['Injury'],2.3296179665077315,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196456+00:00,1.4,0.4160032083049521,0.0
Falcons first preseason depth chart released,https://www.atlantafalcons.com/news/depth-chart-preseason-detroit-lions,Falcons,"['Transaction', 'DepthChart']",2.3296179665077315,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196456+00:00,1.4,0.4160032083049521,0.0
Falcons' second preseason depth chart released,https://www.atlantafalcons.com/news/atlanta-falcons-depth-chart-preseason-tennessee-titans,Falcons,"['Transaction', 'DepthChart']",2.3296179665077315,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196456+00:00,1.4,0.4160032083049521,0.0
Falcons sign veteran safety and center,https://www.atlantafalcons.com/news/ronnie-harrison-safety-signed-transaction,Falcons,['Transaction'],1.4869712290673325,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196456+00:00,1.4,0.4160032083049521,0.030959999999999998
Falcons sign C.J. Henderson,https://www.atlantafalcons.com/news/cj-henderson-cornerback-signed-transacation,Falcons,['Transaction'],1.456011228327542,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196361+00:00,1.4,0.41600320809358343,0.0
Falcons sign quarterback Ben DiNucci before final preseason game,https://www.atlantafalcons.com/news/qb-ben-dinucci-signed-dj-chark-emory-jones,Falcons,['Transaction'],1.4560112276811983,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196278+00:00,1.4,0.4160032079089138,0.0
Falcons sign edge rusher Ronnie Perkins,https://www.atlantafalcons.com/news/report-falcons-sign-edge-rusher-ronnie-perkins,Falcons,['Transaction'],1.4560112276811983,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196278+00:00,1.4,0.4160032079089138,0.0
"Falcons announce updates to personnel, coaching staffs",https://www.atlantafalcons.com/news/falcons-announce-updates-to-personnel-coaching-staffs,Falcons,[],0.0,https://www.atlantafalcons.com,"TEAM,Falcons",,2025-08-19 17:15:57.196456+00:00,1.0,1.0,0.0
